Date,Open,High,Low,Close,Adj Close,Volume
2023-05-31,104.589996,106.099998,103.839996,105.080002,105.080002,393500
2023-06-01,104.220001,105.050003,103.260002,104.120003,104.120003,388100
2023-06-02,107.459999,109.610001,106.529999,108.129997,108.129997,941300
2023-06-05,107.300003,108.930000,107.209999,108.730003,108.730003,445300
2023-06-06,108.690002,110.470001,107.250000,109.849998,109.849998,503500
2023-06-07,110.000000,110.750000,109.400002,109.410004,109.410004,409900
2023-06-08,109.839996,110.000000,108.459999,108.970001,108.970001,642700
2023-06-09,109.449997,110.760002,108.605003,109.250000,109.250000,507100
2023-06-12,108.510002,110.650002,108.510002,109.790001,109.790001,481000
2023-06-13,109.989998,116.364998,109.750000,115.599998,115.599998,1091800
2023-06-14,115.669998,115.669998,110.910004,110.949997,110.949997,767200
2023-06-15,111.059998,113.750000,110.510002,113.000000,113.000000,901100
2023-06-16,113.930000,116.239998,112.400002,112.550003,112.550003,663900
2023-06-20,111.839996,112.199997,109.480003,109.940002,109.940002,639200
2023-06-21,108.769997,109.110001,107.419998,107.459999,107.459999,737900
2023-06-22,107.480003,108.209999,106.870003,107.309998,107.309998,398100
2023-06-23,106.870003,107.809998,105.550003,107.139999,107.139999,519400
2023-06-26,107.000000,108.910004,106.720001,106.930000,106.930000,439500
2023-06-27,106.940002,106.940002,105.389999,105.860001,105.860001,410600
2023-06-28,105.790001,106.930000,104.720001,106.900002,106.900002,512800
2023-06-29,106.550003,108.150002,105.580002,107.000000,107.000000,495100
2023-06-30,107.430000,108.669998,106.970001,107.930000,107.930000,465200
2023-07-03,107.419998,109.300003,107.250000,107.820000,107.820000,346200
2023-07-05,107.680000,112.370003,107.500000,109.080002,109.080002,816400
2023-07-06,108.029999,108.254997,105.029999,105.760002,105.760002,708800
2023-07-07,105.660004,107.639999,105.510002,106.860001,106.860001,327400
2023-07-10,107.620003,108.919998,107.139999,107.430000,107.430000,481300
2023-07-11,106.989998,108.720001,106.739998,107.900002,107.900002,455300
2023-07-12,109.000000,110.239998,108.180000,109.000000,109.000000,557700
2023-07-13,109.889999,110.305000,108.959999,109.510002,109.510002,543300
2023-07-14,110.410004,110.410004,108.110001,108.239998,108.239998,516400
2023-07-17,107.949997,108.769997,106.940002,107.209999,107.209999,498000
2023-07-18,107.500000,109.160004,107.480003,108.150002,108.150002,448100
2023-07-19,108.099998,110.190002,107.900002,109.129997,109.129997,632900
2023-07-20,109.559998,109.559998,107.599998,107.720001,107.720001,487200
2023-07-21,107.500000,109.529999,106.580002,108.589996,108.589996,679000
2023-07-24,108.610001,108.699997,106.120003,107.029999,107.029999,619600
2023-07-25,106.669998,109.650002,106.669998,106.860001,106.860001,627800
2023-07-26,106.730003,107.089996,105.099998,105.510002,105.510002,679700
2023-07-27,106.480003,106.669998,104.760002,105.000000,105.000000,507200
2023-07-28,105.000000,107.889999,105.000000,107.419998,107.419998,688000
2023-07-31,107.599998,109.974998,107.080002,108.870003,108.870003,610800
2023-08-01,108.610001,108.610001,106.339996,107.129997,107.129997,595400
2023-08-02,105.500000,106.529999,104.669998,104.980003,104.980003,607800
2023-08-03,104.720001,108.000000,104.500000,106.650002,106.650002,712800
2023-08-04,106.639999,107.949997,105.879997,106.480003,106.480003,655500
2023-08-07,101.010002,101.360001,95.500000,98.500000,98.500000,3212600
2023-08-08,97.989998,102.489998,97.449997,101.769997,101.769997,1131100
2023-08-09,102.000000,107.639999,101.940002,106.489998,106.489998,1196200
2023-08-10,106.480003,109.830002,105.389999,105.459999,105.459999,1059900
2023-08-11,104.699997,107.610001,104.559998,106.919998,106.919998,426200
2023-08-14,106.809998,107.790001,105.050003,107.440002,107.440002,417100
2023-08-15,106.739998,106.739998,104.599998,105.699997,105.699997,602700
2023-08-16,104.910004,109.000000,104.510002,107.959999,107.959999,648700
2023-08-17,107.820000,113.434998,107.820000,113.220001,113.220001,939400
2023-08-18,111.050003,112.129997,109.900002,110.360001,110.360001,679500
2023-08-21,111.360001,119.559998,111.250000,117.529999,117.529999,1727100
2023-08-22,118.000000,124.019997,117.849998,123.820000,123.820000,1588900
2023-08-23,123.059998,124.000000,121.220001,123.000000,123.000000,1000400
2023-08-24,123.400002,123.400002,118.930000,119.050003,119.050003,665700
2023-08-25,119.050003,119.400002,115.040001,117.610001,117.610001,775000
2023-08-28,119.760002,122.269997,119.440002,120.680000,120.680000,693600
2023-08-29,120.080002,122.620003,119.940002,122.559998,122.559998,502400
2023-08-30,122.500000,125.699997,122.199997,125.080002,125.080002,685400
2023-08-31,125.739998,125.830002,120.489998,120.930000,120.930000,603600
2023-09-01,122.820000,123.489998,121.559998,121.750000,121.750000,426800
2023-09-05,121.870003,122.949997,121.010002,122.000000,122.000000,517800
2023-09-06,122.029999,122.080002,118.940002,120.059998,120.059998,474100
2023-09-07,118.669998,120.025002,118.379997,119.730003,119.730003,409100
2023-09-08,120.320000,121.389999,119.389999,120.129997,120.129997,371500
2023-09-11,119.540001,119.779999,116.550003,117.949997,117.949997,626000
2023-09-12,116.260002,117.470001,113.220001,115.629997,115.629997,973600
2023-09-13,116.570000,117.980003,112.419998,113.250000,113.250000,791100
2023-09-14,113.519997,115.989998,112.760002,113.809998,113.809998,732300
2023-09-15,114.000000,114.550003,112.870003,113.059998,113.059998,544900
2023-09-18,113.059998,113.239998,108.595001,109.040001,109.040001,679400
2023-09-19,109.029999,111.195000,108.779999,110.430000,110.430000,319500
2023-09-20,110.790001,110.790001,108.580002,108.610001,108.610001,214300
